,favorites,created_at,retweets,text
10773,2,2013-12-31 22:43:20,2,Up hiring game 2014 -
10774,2,2013-12-31 22:43:20,4,Browse #SAPTechEd session catalog interview replays 2013
10775,0,2013-12-31 19:56:40,4,Modine Europe shows us it's important keep landscape shape -
10776,4,2013-12-31 03:16:40,7,Earns Perfect Score 2014 Corporate Equality Index Administered Human Rights Campaign Foundationhttp://
10777,0,2013-12-31 00:30:00,5,Blog: The Rise Machineshttp://
10778,2,2013-12-31 00:30:00,8,10 #CloudPredictions 2014 - SDenecken SAPCloud
10779,0,2013-12-31 00:30:00,2,Is end never ending morning commute?
10780,2,2013-12-30 21:43:20,6,"2013: A milestone HANA, visions cloud, Fiori, wearable computing, morehttp://"
10781,1,2013-12-28 08:36:40,11,.@BillRMcDermott's fascinating people 2013:
10782,1,2013-12-28 05:50:00,5,Luxury Brands Opt
10783,4,2013-12-28 00:16:40,5,2013: Exploring New Territorieshttp://
10784,1,2013-12-28 00:16:40,3,What #CloudPredictions 2014? Some thoughts possible #cloud trends tminahan
10785,6,2013-12-27 21:30:00,13,A look back SAP:
10786,10,2013-12-27 07:36:40,9,Only days left ... Here 3 books read 2014 -
10787,4,2013-12-27 07:36:40,4,What significant #cloud news innovation past year? Tell us using #
10788,3,2013-12-27 02:03:20,6,vision reality. Life runs better -
10789,8,2013-12-27 02:03:20,11,5 IT Hiring Trends keep eye 2014 -
10790,3,2013-12-26 23:16:40,4,"""5 Things I Learned About 2013"" -"
10791,1,2013-12-26 23:16:40,3,Drive entire real-time power #SAP #HANA -
10792,0,2013-12-26 20:30:00,2,21 reasons love SAPCommNet -
10793,3,2013-12-25 02:50:00,11,Even Santa uses #cloud get job done -
10794,1,2013-12-25 02:50:00,3,To reach buyers want tell right story -
10795,1,2013-12-25 02:50:00,4,Use holidays think back & reflect leadership -
10796,0,2013-12-25 00:03:20,2,"""Don't forced choose. Demand #cloud way."" -"
10797,2,2013-12-24 21:16:40,4,[VIDEO] explored exciting territories 2013. look we're helping world run better -
10798,2,2013-12-24 21:16:40,6,"In 2014 networks set disrupt & conquer. They're smarter, faster, global ever -"
10799,5,2013-12-24 18:30:00,6,.@BillRMcDermott shares list fascinating people met 2013
10800,5,2013-12-24 07:23:20,7,What's deploy #SAP Suite company? Download #SAPonHANA eBook find outhttp://
10801,6,2013-12-24 04:36:40,6,Big Data Analytics Delivers Customer Centricity Banks. Download report #retailbanking Bloomberg JimMarous
10802,0,2013-12-24 04:36:40,6,How Santa preparing 2014? Perhaps capitalizing benefits #cloud. #InMyCloud
10803,0,2013-12-24 04:36:40,3,"Here ten posts Biz_Innovations week Dec. 23, 2013:"
10804,1,2013-12-24 01:50:00,6,Is Christmas shopping really bad tooth pulled?
10805,0,2013-12-24 01:50:00,1,"Here today, gone tomorrow. success holiday pop-up shops:"
10806,1,2013-12-23 20:16:40,1,"88k manual meter reading 221mil day, energyinsights benefits #BigData & #analytics"
10807,2,2013-12-21 04:23:20,2,A Co-Innovation Lab Brazil bringing better solutions services Latin America:
10808,2,2013-12-21 01:36:40,3,How 12 Days Christmas Could Better Cloud:
10809,3,2013-12-21 01:36:40,2,research: #PredictiveAnalytics moving specialist generalist user-base. Why? on:
10810,1,2013-12-21 01:36:40,1,true path success Risk Management #sapindustries
10811,1,2013-12-20 22:50:00,1,"From creating community expanding reach, sentiment analysis leads:"
10812,0,2013-12-20 20:03:20,5,Social analytics #retailers uncover actionable insights real time. more: #NRF14 #SAPNRF14
10813,2,2013-12-20 20:03:20,6,The 21 posts Trends 2013:
10814,2,2013-12-20 17:16:40,5,[Infographic] #Analytics drives future #ConsumerProducts orgs #BigData BW
10815,3,2013-12-20 03:23:20,9,Commonwealth Bank Australia country’s largest & safest bank gained realtime value w ariba #SAPCustomerJourney
10816,1,2013-12-20 03:23:20,5,
10817,0,2013-12-20 03:23:20,4,partners customers across industries together co-innovation lab Brazil -
