,favorites,created_at,retweets,text
13528,0,2012-12-29 02:56:40,6,[Video] Employees discuss diversity helps drive innovation
13529,1,2012-12-29 00:10:00,4,[Video] #SAP CMO JBecher Social Media & social culture be:
13530,2,2012-12-29 00:10:00,4,".@Ricky_Martin, Shakira & #SAP team change lives -"
13531,1,2012-12-29 00:10:00,9,[Video] #SAP's review: 2012http://
13532,1,2012-12-28 04:43:20,5,"""Companies embraced future rewarded"" jimcramer - #bigdata #SAP poised ""bright"" 2013"
13533,4,2012-12-28 01:56:40,13,"Shakira, Ricky Martin, #SAP team change lives Latin America Caribbean -"
13534,2,2012-12-28 01:56:40,3,Be sure Top 10 #SAP videos 2012! -
13535,1,2012-12-27 20:23:20,5,As gear start may also rethink #mobile strategy -
13536,6,2012-12-27 06:30:00,14,Ten #Cloud Computing Trends 2013:
13537,3,2012-12-27 06:30:00,1,articles SAPInfo 2012: #Analytics #BI #HANA #SAP
13538,0,2012-12-27 06:30:00,0,Five Tips Relaxing Winter Break biz_innovations Blog.
13539,0,2012-12-27 03:43:20,0,Alexleiva17 Is anything #SAP with?
13540,1,2012-12-26 02:43:20,14,Santa's model helps deliver presents Christmas -
13541,1,2012-12-25 23:56:40,3,Enterprise Mobility Minute - Know strategy adopting technologies -
13542,5,2012-12-25 23:56:40,9,Wishing Merry Christmas & happy holiday season us #SAP!
13543,21,2012-12-25 04:30:00,77,Santa Runs #SAP: Anyone remember this?
13544,3,2012-12-25 04:30:00,8,"#SAP's 2012 Highlights neat, little article viewing pleasure:"
13545,0,2012-12-25 01:43:20,5,.@SAPInfo shares Five Tips Relaxing Winter Break
13546,2,2012-12-22 07:03:20,9,#Analytics 2012: A Year Reviewhttp://
13547,2,2012-12-22 04:16:40,10,10 #Cloud Computing Trends 2013:
13548,1,2012-12-22 04:16:40,0,"Interested seeing we've tweeting lately, place? Visit Twylah page;"
13549,4,2012-12-22 01:30:00,7,With #SAP #Afaria you'll never worry lost stolen #mobile again:
13550,3,2012-12-22 01:30:00,2,Have heard BusinessObjects Mobile App? It's #mobile #app ALL BI content:
13551,0,2012-12-22 01:30:00,1,"""This celebration 40 year-old teenager, #SAP."" - Jim Hagemann-Snabe"
13552,2,2012-12-21 22:43:20,4,What develop enterprise #mobility strategy 2013 differs needed 2012. Here's how:
13553,1,2012-12-21 22:43:20,2,How Partners 'Change Game' #SAP Rapid Deployment Solutions Estes110
13554,1,2012-12-21 22:43:20,3,Christmas Tree #Analytics: Americans spend around $3.4 billion buying $25M #Christmas trees
13555,1,2012-12-21 03:16:40,3,How social culture be? #SAP CMO jbecher gives advice Social Media Week earlier -
13556,1,2012-12-21 03:16:40,3,Advances #mobile creating shift enterprise world. Mobility Minute series -
13557,1,2012-12-21 03:16:40,1,Organizations contain kinds contrasts decide computing solutions right you? -
13558,1,2012-12-21 00:30:00,1,#SAP employees talk diversity & inclusion drives strategic value personal stories -
13559,1,2012-12-21 00:30:00,1,#SAP Partners find opportunity Brazil now-a-days look what's happening Brazil's IT market -
13560,0,2012-12-20 21:43:20,3,[VIDEO] #SAPs vision #mobile device management focuses innovations 3D gaming -
13561,1,2012-12-20 21:43:20,3,#Analytics 2012 - TimoElliott takes us many changes data discovery & quality #cloud -
13562,1,2012-12-20 21:43:20,1,[VIDEO] DRI - #SAP customer - came rescue Hurricane Sandy devastated much Northeast -
13563,1,2012-12-20 18:56:40,8,There big shifts #cloud market 2013 - look expect -
13564,1,2012-12-20 02:16:40,0,[Video] #SAP's Carmen O’Shea discusses #leadership &#diversity driving #innovation #DiversityStories
13565,0,2012-12-20 02:16:40,3,"Clark Griswold, eat heart out; Christmas lights, #BigData & utilities industry..."
13566,0,2012-12-19 23:30:00,1,PeterGGraf #SAP talk #sustainability & #diversity driving #innovation - #DiversityStories
