user_screen_name,favorites,user_id,created_at,user_name,tweet_id,retweets,text
76117579,6,76117579,1508942641000.0,SAP,923198467631190017,8,Cyber attacks are getting worse – why it's time to up your http://www.digitalistmag.com/cio-knowledge/2017/10/10/will-digital-renaissance-man-save-cybersecurity-05415073?source=social-SAP-Twitter-blog_cybersecurity-CyberSecurity&campaigncode=CRM-XM17-STL-TLC11 … #cybersecurity.pic.twitter.com/9SkRUMl9OS
76117579,12,76117579,1508938682000.0,SAP,923181860867461121,8,"The message on digital transformation is loud and clear –
 experience it for yourself at #LeonardoLive http://spr.ly/6014877MI pic.twitter.com/2SbYKzdBSC"
76117579,8,76117579,1508918882000.0,SAP,923098813262417920,8,Finance 2025: When #blockchain fulfills CFOs’ paperless vision. http://spr.ly/601587hmB  @DigitalistMagpic.twitter.com/7jNcBZ9Gd5
76117579,14,76117579,1508903942000.0,SAP,923036152227082241,6,[LIVE] Join @LeukertB & @_bgoerke at #SAPTechEd Bangalore to hear the latest & greatest in SAP tech. Watch NOW: http://facebook.com/sapteched pic.twitter.com/Azt9LwkDBo
76117579,7,76117579,1508894431000.0,SAP,922996259023151109,8,Disney re-vamps online and in-store retail to boost customer experience: http://spr.ly/60198CKCR pic.twitter.com/CUpEnGsXWe
76117579,8,76117579,1508889602000.0,SAP,922976006130061312,9,Chatbots are not a new concept - they aren't even from this century. See how #chatbots & #SMBs are working together http://spr.ly/60198C6HD pic.twitter.com/35i1UdYM6S
76117579,5,76117579,1508886001000.0,SAP,922960903938674698,6,Why it's time for your org to join the #API revolution http://www.digitalistmag.com/executive-research/unleash-the-killer-api?source=social-SAP-Twitter-q3_KillerAPI-Core&campaigncode=CRM-XM17-STL-TLC06 … #Cloudpic.twitter.com/2zCpUKK5Kr
76117579,6,76117579,1508882701000.0,SAP,922947062043471872,4,"How SAP Anywhere is solving problems at Hagen Hunting:
http://spr.ly/60108AaTi pic.twitter.com/qgPgzmQ0fH"
user_screen_name,favorites,user_id,created_at,user_name,tweet_id,retweets,text
76117579,6,76117579,1508879161000.0,SAP,922932211896213505,7,Our #ML efforts & partnership with @NVIDIA’s computing platform continues to drive unprecedented computing power. http://spr.ly/60188CKCu pic.twitter.com/92waTuq1Cx
76117579,6,76117579,1508875201000.0,SAP,922915603467321344,8,How #machinelearning and #Iot can separate you from the other 97% https://news.sap.com/next-gen-technology-separates-digital-leaders-from-the-rest/?source=social-SAP-Twitter-news_DTES_digitalleaders-DTES&campaigncode=CRM-XM17-STL-TLC18B … #digitaltransformationpic.twitter.com/DFdDhzpwdb
76117579,4,76117579,1508871601000.0,SAP,922900504556032001,2,Harness the analysis enterprise architects need to stay agile and build a successful #data platform: http://spr.ly/601484biA pic.twitter.com/vgdbo9CQPN
76117579,13,76117579,1508868061000.0,SAP,922885655834824704,10,"Setting the standard for digital commerce, hear from @CarstenThoma, co-founder of SAP Hybris from #saphybrislive: http://spr.ly/60178C1xb pic.twitter.com/aPm0pTLJsi"
76117579,6,76117579,1508864701000.0,SAP,922871563845820416,5,6 ways to bring your #SMB's business model closer to digital transformation: http://spr.ly/60198AIqW pic.twitter.com/1JSD9X0VpO
76117579,126,76117579,1508860803000.0,SAP,922855212720775169,30,"Navigate the digital renaissance with the power of @SAPLeonardo. #runsimple
http://spr.ly/601487h4O pic.twitter.com/ySALpiyQQ5"
76117579,12,76117579,1508857621000.0,SAP,922841866768453632,9,"Developers need to become brand marketers? SAP @vivek_bapat, @BillCarmody explain: http://spr.ly/60128CBJr  #digitaltransformationpic.twitter.com/neCZIB4x4p"
76117579,7,76117579,1508853603000.0,SAP,922825013618790403,6,The tipping for innovation is here! Discover how your business can keep pace with change in this article by @PaoniDJ http://spr.ly/60138C6JX pic.twitter.com/DzhsvcTIbZ
76117579,15,76117579,1508851081000.0,SAP,922814435093303297,17,"Experience the impact of digital transformation at #LeonardoLive, November 2-3. http://spr.ly/601687han  @SAPLeonardopic.twitter.com/pzVDfJVUt2"
76117579,16,76117579,1508835962000.0,SAP,922751021679595521,19,What's happening in the world of SAP #ML? Get the latest news and research here: http://spr.ly/601887hQj pic.twitter.com/Cpq8TqM1uH
76117579,23,76117579,1508817601000.0,SAP,922674012001570816,18,In 24 hours—@LeukertB & @_bgoerke to Keynote. Be the 1st to hear about the latest SAP innovations. Watch: http://spr.ly/60178A123  #SAPTechEdpic.twitter.com/8HdVthRC2x
76117579,15,76117579,1508814002000.0,SAP,922658915309031425,8,What is the value of #IoT in the consumer products industry? https://news.sap.com/less-than-half-of-consumer-products-companies-know-how-to-build-business-case-for-the-iot-sap-study-shows/?source=social-SAP-Twitter-news_IoTconsumerproducts-IoT&campaigncode=CRM-XM17-STL-TLC10 …pic.twitter.com/PTDSeFJPyQ
76117579,19,76117579,1508808361000.0,SAP,922635256905179136,8,It's the best of both worlds — machine intelligence with a human twist. Discover deep learning with @TensorFlow http://spr.ly/601287hQM pic.twitter.com/7LbMPxLrA2
76117579,5,76117579,1508795941000.0,SAP,922583163804712960,2,IDC's recommendations for fueling the #digitaltransformation of your business with retail analytics: http://spr.ly/60198fRTt pic.twitter.com/rxSF4OXki5
76117579,63,76117579,1508790601000.0,SAP,922560766334599169,41,The impact of #AI will be huge – but it's only the begining. #runsimple http://spr.ly/601787hF9 pic.twitter.com/xBJPbGDdAt
76117579,6,76117579,1508787001000.0,SAP,922545665724514304,4,"6 tips for growing your #smallbiz while maintaining that startup charm:
http://spr.ly/60188AapI pic.twitter.com/hcBIOTRi4B"
76117579,10,76117579,1508780521000.0,SAP,922518486735376385,8,"We're delighted that Aspen Institute CEO & author @WalterIsaacson is speaking at #LeonardoLive, Nov 2-3 in Chicago!
http://spr.ly/6013877OP pic.twitter.com/oUGKZWmDdu"
76117579,5,76117579,1508778901000.0,SAP,922511692881367040,5,59% of decision-makers indicate it takes years to support new #analytics tech. Streamline with @Forrester http://spr.ly/601484bcw pic.twitter.com/oSAcUcu5cd
76117579,10,76117579,1508778356000.0,SAP,922509405454831618,8,Walk away with a technology game plan instead of brochures. That's how we do it at #LeonardoLive http://spr.ly/6012877Os pic.twitter.com/O4Rh60WumA
76117579,5,76117579,1508775001000.0,SAP,922495334647042050,4,DYK: SAP and the @sanjosesharks have a special connection? Check out #LifeAt for all the details: http://spr.ly/60078AQ6v pic.twitter.com/h1X2e0p8LB
user_screen_name,favorites,user_id,created_at,user_name,tweet_id,retweets,text
76117579,15,76117579,1508773081000.0,SAP,922487281377792008,14,What's the next big threat to the financial industry? http://spr.ly/601387Hhx  @SAPAnalyticspic.twitter.com/5peXi4hJJE
76117579,19,76117579,1508663701000.0,SAP,922028508284628993,16,"By incorporating analytic tools into your #SMB, you will gain six fundamental areas of competitive advantage: http://spr.ly/60118AaRT pic.twitter.com/NN6DjB61LI"
76117579,13,76117579,1508602502000.0,SAP,921771819392229376,8,"Why your #SMB should say goodbye to traditional data repositories and hello to virtual data rooms:
http://spr.ly/60148AaTm pic.twitter.com/AnvUN9ajrM"
76117579,14,76117579,1508579333000.0,SAP,921674641218863104,6,Discover how Central Finance can work for process execution w/ insights from @Capgemini's Sanjiv Shrivastava: http://spr.ly/601887yBI pic.twitter.com/AEQW8Gsssm
76117579,18,76117579,1508533202000.0,SAP,921481156155052033,15,The partnership between SAP and @nvidia is bringing #ML to your enterprise http://spr.ly/60118AvbS pic.twitter.com/8ZHxsw6R5g
76117579,8,76117579,1508530621000.0,SAP,921470329964376064,10,How technology can help modernize your account reconciliations: http://spr.ly/601187koh  @DigitalistMag @ZachDemingpic.twitter.com/d4SAO8JqpZ
